Number of edges,Time(seconds)
7,0.000121
9,0.000119
12,0.000737
50,0.000662
50,0.00022
100,0.00065
100,0.00028
150,0.00041
250,0.000666
500,0.005523
750,0.020507
1000,0.021986
500,0.010732
1000,0.010194
2000,0.14649
3000,0.105833
4000,0.192698
500,0.000998
1000,0.01853
5000,0.566713
10000,1.70653
25000,6.44955
1000,0.00466
2500,0.154434
5000,1.14023
10000,3.68875
25000,15.9746
50000,16.7422
100000,59.4595
2000,0.020669
5000,0.722431
10000,4.28326
25000,28.2006
50000,53.4367
75000,224.937
100000,324.826
5000,0.043689
10000,0.672215
25000,55.2826
50000,194.156
100000,332.606
5000,0.031117
10000,0.996907
25000,123.667
50000,267.947
10000,0.187918
25000,65.232
50000,471.274
15000,0.409605
25000,13.1984
