Number of Nodes,Time(seconds)
5,0.000121
6,0.000119
5,0.000737
10,0.000662
20,0.00022
20,0.00065
40,0.00028
50,0.00041
50,0.000666
50,0.005523
50,0.020507
50,0.021986
100,0.010732
100,0.010194
100,0.14649
100,0.105833
100,0.192698
250,0.000998
250,0.01853
250,0.566713
250,1.70653
250,6.44955
500,0.00466
500,0.154434
500,1.14023
500,3.68875
500,15.9746
500,16.7422
500,59.4595
1000,0.020669
1000,0.722431
1000,4.28326
1000,28.2006
1000,53.4367
1000,224.937
1000,324.826
2000,0.043689
2000,0.672215
2000,55.2826
2000,194.156
2000,332.606
3000,0.031117
3000,0.996907
3000,123.667
3000,267.947
5000,0.187918
5000,65.232
5000,471.274
7500,0.409605
7500,13.1984
