C,No of Lines
95757.3,2
12292.4,2
54764.3,2
4526.65,2
45517.9,2
82444.1,2
80781.5,2
39853.5,2
63135.7,2
35793.9,2
23235.8,2
3996.51,2
75897.4,2
38873.0,2
15738.3,2
89328.6,2
14805.9,2
9926.53,2
93239.9,2
89951.3,2
36152.8,4
8051.25,4
87293.0,4
54265.5,4
74722.5,4
3598.72,4
66061.5,4
47611.0,4
43360.7,4
52366.2,4
89471.7,4
55546.9,4
31427.3,4
66983.6,4
2270.4,4
21375.3,4
99246.0,4
95124.3,4
61061.2,4
97452.9,4
63228.4,6
42375.4,6
26255.1,6
3161.66,6
51174.8,6
16490.1,6
74590.2,6
89165.8,6
35769.8,6
71924.0,6
54730.2,6
55644.9,6
85014.2,6
79736.4,6
77563.9,6
31457.8,6
16126.6,6
23160.9,6
70500.6,6
68149.6,6
11157.4,8
11140.3,8
39959.3,8
22411.5,8
34146.3,8
6466.28,8
32969.7,8
63611.6,8
59743.1,8
98378.6,8
29004.6,8
2255.36,8
58057.8,8
75924.4,8
56084.1,8
90014.8,8
72171.2,8
70720.1,8
43820.1,8
63282.7,8
54823.6,10
59695.4,10
84446.2,10
16655.8,10
16710.5,10
62596.6,10
17977.2,10
71057.1,10
95632.7,10
9788.2,10
56096.9,10
69912.1,10
91737.7,10
94334.1,10
1036.42,10
99856.8,10
84697.3,10
1137.34,10
26250.9,10
78153.2,10
44210.3,12
1942.11,12
66174.3,12
33939.9,12
15391.7,12
72102.8,10
73495.1,10
4919.01,12
5045.6,12
99760.1,10
23176.9,12
878.131,12
77098.3,10
40219.8,12
13303.3,12
83286.2,10
97164.4,10
39371.3,12
38529.1,12
20728.2,12
43357.9,10
36465.6,10
3318.16,12
18970.2,12
87820.9,10
32031.2,10
1475.16,12
48157.6,10
1006.09,12
49419.2,10
66276.3,12
21114.8,14
16856.3,14
74088.3,12
1476.85,14
71153.3,12
32415.0,14
80251.4,12
39567.3,14
52108.7,14
55995.9,14
95012.0,14
13013.7,14
