Time in Microseconds,C
4646,95757.3
4985,12292.4
1994,54764.3
3008,4526.65
2961,45517.9
1995,82444.1
2994,80781.5
1993,39853.5
2993,63135.7
1994,35793.9
2991,23235.8
2992,3996.51
3023,75897.4
4020,38873
2992,15738.3
2965,89328.6
3988,14805.9
1994,9926.53
3185,93239.9
2992,89951.3
5313,36152.8
4986,8051.25
7942,87293
5984,54265.5
6013,74722.5
7418,3598.72
8410,66061.5
6680,47611
5980,43360.7
5988,52366.2
5017,89471.7
7979,55546.9
6692,31427.3
4953,66983.6
5982,2270.4
7981,21375.3
6981,99246
4986,95124.3
5629,61061.2
7946,97452.9
9972,63228.4
8975,42375.4
7952,26255.1
5935,3161.66
6980,51174.8
5966,16490.1
8181,74590.2
7138,89165.8
7976,35769.8
9939,71924
9944,54730.2
8945,55644.9
8977,85014.2
10981,79736.4
9940,77563.9
8942,31457.8
9935,16126.6
7981,23160.9
6942,70500.6
6949,68149.6
11937,11157.4
11934,11140.3
10718,39959.3
10968,22411.5
11968,34146.3
10970,6466.28
11967,32969.7
10937,63611.6
11968,59743.1
11288,98378.6
11937,29004.6
11934,2255.36
11933,58057.8
11968,75924.4
11966,56084.1
11322,90014.8
11935,72171.2
10937,70720.1
11935,43820.1
11936,63282.7
14927,54823.6
13962,59695.4
14934,84446.2
13959,16655.8
12966,16710.5
12934,62596.6
13931,17977.2
11929,71057.1
13327,95632.7
12405,9788.2
13961,56096.9
12965,69912.1
13963,91737.7
11965,94334.1
11967,1036.42
13838,99856.8
12932,84697.3
16954,1137.34
13962,26250.9
12964,78153.2
15956,44210.3
15961,1942.11
15987,66174.3
15925,33939.9
17949,15391.7
12952,72102.8
13960,73495.1
17411,4919.01
15955,5045.6
13929,99760.1
16953,23176.9
15614,878.131
12933,77098.3
16953,40219.8
16951,13303.3
12962,83286.2
13930,97164.4
15957,39371.3
15958,38529.1
14986,20728.2
14779,43357.9
14959,36465.6
15952,3318.16
14957,18970.2
13962,87820.9
13962,32031.2
15956,1475.16
13799,48157.6
16132,1006.09
14818,49419.2
17920,66276.3
17920,21114.8
17951,16856.3
16820,74088.3
17956,1476.85
14989,71153.3
18060,32415
15956,80251.4
17935,39567.3
17950,52108.7
18416,55995.9
17950,95012
18949,13013.7
17512,33338.3
17952,96859.5
17916,98227.7
17917,42172.3
18917,67634.8
19944,556.514
17952,34088.9
21934,83359.9
17657,38217.6
19950,40956.2
18917,73107.9
17521,25972
17920,54133.1
17947,55490.9
16954,76791
20455,23821.3
17919,26178.4
21909,86570.6
20912,61695
21904,48195.5
23896,12212
18948,40056.2
21942,47697
19910,67691.5
21903,7720.87
23881,3259.42
19897,48524.2
20067,81082.7
24933,20808.5
20941,38665
20943,37250.6
19947,48584.6
24971,18794.5
23932,2570.66
19947,74706.7
17949,81644.3
21401,41194.9
18917,92280.7
21276,26903.9
19947,79403.5
19421,36095.3
18947,90194
21946,15280.1
17862,56996.4
16954,46384.6
19911,45106.9
18949,86648.7
22660,47703.4
23318,41535.1
26134,95908.5
24759,99488.5
22150,45985.2
23571,50949.9
25198,3389.91
25897,66404.9
23934,56543.3
24932,80822.2
26927,56970.8
25912,22881.3
25888,89791.2
23906,36045
25194,38656.7
23933,13491.7
25931,55473.7
26634,25652.5
24935,36929.8
22936,60806.9
21906,59322.5
23448,34213.1
20294,87274.9
21941,81998.8
21679,61108
20942,64799.6
27925,5917.73
21940,53496.4
22905,25597.1
20468,89388.7
27895,46576.8
23934,69758
23522,28747.7
26901,66988.1
25931,86526
24440,61598.8
23608,60063.4
25017,18181.8
25900,62823.4
24701,46623.6
29917,45159.3
30887,69687
27237,40455.2
27490,24395
26927,45174.5
27769,27150.4
28697,92207.5
26781,73638.6
26929,14333.2
26051,75620.1
26929,36542.5
25929,78989.4
24847,96139
26922,51310.6
26928,33961.1
25934,28645
25900,31832.3
25927,29964
25376,43441.9
26927,60770.2
25930,24061.1
23935,29305.5
30918,1601.39
22108,46727.5
27256,16767.2
25930,23147.1
22938,62806.8
30915,4334.11
19944,74170.5
39858,8717.64
21945,63402.9
30685,19649.1
31912,2974.95
24932,78704.1
34280,6387.75
22939,91970.2
31615,8329.45
22937,96485.3
23149,67861.9
25930,69992.6
26928,92225.6
33909,74.3371
25930,68308.2
32910,3276.97
25930,93564.8
30798,10383.9
25933,97659.9
33907,2959.76
31914,10693.2
29920,53053.2
32880,37116
34945,34847.3
35871,37269.1
28923,93724.5
31914,53789.3
33908,33788.7
35601,28209.5
31879,55691.8
32883,32614.6
28923,97742.7
30916,54186.2
34746,21127.3
39891,83557.2
28848,25180.3
31417,57720.6
29919,69813.7
27927,91523.6
31914,69145.6
31914,28632.2
31999,43328.2
26769,83174.2
26893,78148.1
31910,65769.1
34903,46264.6
39892,1684.82
30918,40407.9
30917,41459.5
32911,43996.8
26533,88340.5
33908,32686.6
28921,64001.4
28254,60145.4
32458,53714.4
24932,81850.4
24931,82593
29918,34613.2
31009,43224.9
36899,554.064
30917,40344.1
36442,16377.6
38866,7786.52
40792,3891.52
55823,2174.42
39893,3767.68
36171,36517.2
36181,67595.4
35847,89280
34904,50456.1
38895,17952.5
36898,46549.2
32911,23515
26894,77906.9
30915,38502.4
30915,24876.2
28447,88060.6
30884,53043
41250,2941.3
36922,14959.3
34362,19618
41089,6369.72
29920,76535
33909,23710.8
32912,53831.8
31327,35833.6
31763,37713.2
31915,54876.8
31914,33448.3
30917,51311.4
29412,70249.4
41888,3143.2
29919,89895.9
42859,92788
29920,82707.8
38895,19980.2
38891,28421.9
32911,75701.7
39291,30703.2
29794,88744.9
34334,70115.9
34618,62556.1
36857,71683.3
34906,87623.3
35602,82380.7
36900,35083.2
39864,49303.1
40417,40419.4
40295,47118.2
39856,11280.7
44847,5851.36
35001,80949.5
35489,90941.6
44881,24830.2
33908,79925.4
40667,49685.8
41322,16444.5
40224,9418.57
37220,68973.2
42885,5483.78
38866,45808.4
29919,99984
28736,98705.8
39450,42864.9
38895,36896.8
32129,89984.3
42885,30892.6
33830,73230.1
45425,3627.99
46488,1025.74
40326,20427.1
30916,82561.4
32912,61466.1
41328,7524.94
40367,22987.6
27317,96004.4
34970,37403.7
42884,8134.1
28892,89839.4
35903,24919.9
28918,72308.8
30176,85787.7
44816,6256.1
35652,34299.3
34315,32088.9
41546,22260.1
31914,84709
52920,3432.88
41886,9231.07
43882,14276.7
42326,2105.53
39858,26616
32880,62484.4
29549,90749.6
32952,78666.1
30883,90167.5
44879,4066.38
35563,38653.1
30637,95394.4
30541,97604.8
29883,94215.7
31913,52528.8
40851,38943.3
38501,80441.7
46872,10396.3
38895,80974.2
42884,19833.7
35711,62562.5
32910,91302.1
45007,10870.2
44848,11053.3
42885,16635.2
34825,60183.1
39892,24748.7
40885,22666.8
41888,5141.37
35903,40730.2
30918,96305.5
34906,46959.1
42881,5000.08
38146,41425.6
37902,54197.6
31437,84232.4
30916,91515.3
31908,66808
47872,3642.79
32911,72773.9
45877,15651.5
30917,73925.8
30917,86627
30496,81577.3
37875,40390.1
27909,61213.4
45878,14829.4
37870,29447.8
25123,97651.5
28796,56844.8
28922,61236.9
27925,76624.3
27823,67339.7
35904,28172.8
65682,1687.59
41885,45940.4
53855,5237.46
35903,57072.1
38099,55590.3
26926,84605.5
47207,17068.5
34905,78958.6
56695,4207.61
32974,81249.8
36899,73491.1
53996,6291.63
35716,78950.1
56428,400.407
34907,59290.3
35144,66779
53141,29648.2
56600,1166.1
49835,15593.4
35826,82889.9
33906,92204.4
49692,12234.5
47871,20685.9
44880,33905.2
39894,74415
30873,72450.3
29476,74419.9
49409,3013.09
29890,97791.8
38806,59627.1
51859,1300.01
26928,90197.1
53801,5990.26
47869,39909.6
49400,37257.4
51494,20801.5
28924,83659.8
56847,3238.6
52858,23384.3
30916,86579.5
31887,77271.5
32486,89631.1
69430,2988.77
56809,17367.2
51828,32543.4
42972,59011.2
42349,47727.3
46874,42939.9
31191,81066.7
33909,75240.9
32131,92438.3
31150,70421.7
38863,43665.9
33755,69361.8
61101,658.538
30890,78580.9
29917,80123.3
32909,64423.9
31914,64979.7
42315,41006.4
47727,27123.5
31888,84272.1
46211,25667.6
38282,73129.1
36866,78101.9
40843,57897.3
45844,32395.7
45877,47339.3
31914,75754
40890,64435.4
53976,18690.9
30023,91720
54852,13640
40520,77240.3
31882,92172.9
29919,98106.5
50863,30444.5
40299,63106.6
48869,34940.7
43389,63233.5
29919,98357.4
30916,83817.2
30916,93164.9
57735,13811.3
50862,36517.8
41888,53112.5
60839,1484.52
50153,41919.1
48869,28273.2
28922,68785.8
64826,16522.7
52690,26231.9
61833,2220.55
62673,3201.09
33875,64751.2
55818,24357.4
38537,60205.6
46700,41072.3
49866,37641.8
53447,17959
32179,88456
41609,40433.6
33908,69917.2
51860,21774.1
43882,43988.2
58842,4764.27
65824,572.909
27337,93369.4
37699,58096.6
60800,2816.38
30918,96105.2
41033,38810.4
54851,45572.9
56850,6828.18
35570,67557.5
55850,3753.41
45876,26141.9
46066,32554.3
37897,50808.2
32067,72557.5
45875,20564
33877,75297
40891,37081
41856,27488.4
38013,39416.7
57814,12121.7
33039,76733
30917,88873
54778,9537.81
35756,60954.6
50830,25378.8
29919,99305.6
35177,65199.4
31910,83724.9
67096,3284.8
33881,93381.6
29683,90690.3
39893,46381.7
29879,89405.8
33908,84322.7
39838,50179.2
42419,51070.2
58842,12789
57815,15864.3
40888,27967.9
40890,54430.2
55285,15502.3
33898,83057
40166,53681.1
40860,42386.9
53231,16793
47015,38921.5
27925,93867.1
28407,73081.2
38895,45093.2
27884,84365.1
49234,34318.6
50862,22977.3
29890,68018.6
75798,6734.9
39859,45261.2
40080,49413
55851,18448.5
45820,38544.5
41828,59813
36899,70994.5
31213,83556.4
63505,5601.15
49848,32177.4
32688,92652.8
50863,26186.3
44335,52669.5
36298,83237.9
34904,64240.8
35950,61727
35833,74546.8
64825,8312.95
46837,55135.9
50863,21869.2
53855,15836.1
35903,63547.3
44353,45751
31101,95124
45875,67709.5
42871,51493
31027,89033.7
32911,94132.2
35903,70881.8
38857,56610.1
55498,32957.1
36901,61086.6
38894,70912.5
37972,74913.2
50956,35148.9
38312,79250.1
60837,20235.5
60837,23940
49251,41378.1
50473,40436.2
59374,23738.6
63828,9695.1
