Time in Microseconds,N
4646,1
4985,1
1994,1
3008,1
2961,1
1995,1
2994,1
1993,1
2993,1
1994,1
2991,2
2992,2
3023,2
4020,2
2992,2
2965,2
3988,2
1994,2
3185,2
2992,2
5313,3
4986,3
7942,3
5984,3
6013,3
7418,3
8410,3
6680,3
5980,3
5988,3
5017,4
7979,4
6692,4
4953,4
5982,4
7981,4
6981,4
4986,4
5629,4
7946,4
9972,5
8975,5
7952,5
5935,5
6980,5
5966,5
8181,5
7138,5
7976,5
9939,5
9944,6
8945,6
8977,6
10981,6
9940,6
8942,6
9935,6
7981,6
6942,6
6949,6
11937,7
11934,7
10718,7
10968,7
11968,7
10970,7
11967,7
10937,7
11968,7
11288,7
11937,8
11934,8
11933,8
11968,8
11966,8
11322,8
11935,8
10937,8
11935,8
11936,8
14927,9
13962,9
14934,9
13959,9
12966,9
12934,9
13931,9
11929,9
13327,9
12405,9
13961,10
12965,10
13963,10
11965,10
11967,10
13838,10
12932,10
16954,10
13962,10
12964,10
15956,11
15961,11
15987,11
15925,11
17949,11
12952,11
13960,11
17411,11
15955,11
13929,11
16953,12
15614,12
12933,12
16953,12
16951,12
12962,12
13930,12
15957,12
15958,12
14986,12
14779,13
14959,13
15952,13
14957,13
13962,13
13962,13
15956,13
13799,13
16132,13
14818,13
17920,14
17920,14
17951,14
16820,14
17956,14
14989,14
18060,14
15956,14
17935,14
17950,14
18416,15
17950,15
18949,15
17512,15
17952,15
17916,15
17917,15
18917,15
19944,15
17952,15
21934,16
17657,16
19950,16
18917,16
17521,16
17920,16
17947,16
16954,16
20455,16
17919,16
21909,17
20912,17
21904,17
23896,17
18948,17
21942,17
19910,17
21903,17
23881,17
19897,17
20067,18
24933,18
20941,18
20943,18
19947,18
24971,18
23932,18
19947,18
17949,18
21401,18
18917,19
21276,19
19947,19
19421,19
18947,19
21946,19
17862,19
16954,19
19911,19
18949,19
22660,20
23318,20
26134,20
24759,20
22150,20
23571,20
25198,20
25897,20
23934,20
24932,20
26927,21
25912,21
25888,21
23906,21
25194,21
23933,21
25931,21
26634,21
24935,21
22936,21
21906,22
23448,22
20294,22
21941,22
21679,22
20942,22
27925,22
21940,22
22905,22
20468,22
27895,23
23934,23
23522,23
26901,23
25931,23
24440,23
23608,23
25017,23
25900,23
24701,23
29917,24
30887,24
27237,24
27490,24
26927,24
27769,24
28697,24
26781,24
26929,24
26051,24
26929,25
25929,25
24847,25
26922,25
26928,25
25934,25
25900,25
25927,25
25376,25
26927,25
25930,26
23935,26
30918,26
22108,26
27256,26
25930,26
22938,26
30915,26
19944,26
39858,26
21945,27
30685,27
31912,27
24932,27
34280,27
22939,27
31615,27
22937,27
23149,27
25930,27
26928,28
33909,28
25930,28
32910,28
25930,28
30798,28
25933,28
33907,28
31914,28
29920,28
32880,29
34945,29
35871,29
28923,29
31914,29
33908,29
35601,29
31879,29
32883,29
28923,29
30916,30
34746,30
39891,30
28848,30
31417,30
29919,30
27927,30
31914,30
31914,30
31999,30
26769,31
26893,31
31910,31
34903,31
39892,31
30918,31
30917,31
32911,31
26533,31
33908,31
28921,32
28254,32
32458,32
24932,32
24931,32
29918,32
31009,32
36899,32
30917,32
36442,32
38866,33
40792,33
55823,33
39893,33
36171,33
36181,33
35847,33
34904,33
38895,33
36898,33
32911,34
26894,34
30915,34
30915,34
28447,34
30884,34
41250,34
36922,34
34362,34
41089,34
29920,35
33909,35
32912,35
31327,35
31763,35
31915,35
31914,35
30917,35
29412,35
41888,35
29919,36
42859,36
29920,36
38895,36
38891,36
32911,36
39291,36
29794,36
34334,36
34618,36
36857,37
34906,37
35602,37
36900,37
39864,37
40417,37
40295,37
39856,37
44847,37
35001,37
35489,38
44881,38
33908,38
40667,38
41322,38
40224,38
37220,38
42885,38
38866,38
29919,38
28736,39
39450,39
38895,39
32129,39
42885,39
33830,39
45425,39
46488,39
40326,39
30916,39
32912,40
41328,40
40367,40
27317,40
34970,40
42884,40
28892,40
35903,40
28918,40
30176,40
44816,41
35652,41
34315,41
41546,41
31914,41
52920,41
41886,41
43882,41
42326,41
39858,41
32880,42
29549,42
32952,42
30883,42
44879,42
35563,42
30637,42
30541,42
29883,42
31913,42
40851,43
38501,43
46872,43
38895,43
42884,43
35711,43
32910,43
45007,43
44848,43
42885,43
34825,44
39892,44
40885,44
41888,44
35903,44
30918,44
34906,44
42881,44
38146,44
37902,44
31437,45
30916,45
31908,45
47872,45
32911,45
45877,45
30917,45
30917,45
30496,45
37875,45
27909,46
45878,46
37870,46
25123,46
28796,46
28922,46
27925,46
27823,46
35904,46
65682,46
41885,47
53855,47
35903,47
38099,47
26926,47
47207,47
34905,47
56695,47
32974,47
36899,47
53996,48
35716,48
56428,48
34907,48
35144,48
53141,48
56600,48
49835,48
35826,48
33906,48
49692,49
47871,49
44880,49
39894,49
30873,49
29476,49
49409,49
29890,49
38806,49
51859,49
26928,50
53801,50
47869,50
49400,50
51494,50
28924,50
56847,50
52858,50
30916,50
31887,50
32486,51
69430,51
56809,51
51828,51
42972,51
42349,51
46874,51
31191,51
33909,51
32131,51
31150,52
38863,52
33755,52
61101,52
30890,52
29917,52
32909,52
31914,52
42315,52
47727,52
31888,53
46211,53
38282,53
36866,53
40843,53
45844,53
45877,53
31914,53
40890,53
53976,53
30023,54
54852,54
40520,54
31882,54
29919,54
50863,54
40299,54
48869,54
43389,54
29919,54
30916,55
30916,55
57735,55
50862,55
41888,55
60839,55
50153,55
48869,55
28922,55
64826,55
52690,56
61833,56
62673,56
33875,56
55818,56
38537,56
46700,56
49866,56
53447,56
32179,56
41609,57
33908,57
51860,57
43882,57
58842,57
65824,57
27337,57
37699,57
60800,57
30918,57
41033,58
54851,58
56850,58
35570,58
55850,58
45876,58
46066,58
37897,58
32067,58
45875,58
33877,59
40891,59
41856,59
38013,59
57814,59
33039,59
30917,59
54778,59
35756,59
50830,59
29919,60
35177,60
31910,60
67096,60
33881,60
29683,60
39893,60
29879,60
33908,60
39838,60
42419,61
58842,61
57815,61
40888,61
40890,61
55285,61
33898,61
40166,61
40860,61
53231,61
47015,62
27925,62
28407,62
38895,62
27884,62
49234,62
50862,62
29890,62
75798,62
39859,62
40080,63
55851,63
45820,63
41828,63
36899,63
31213,63
63505,63
49848,63
32688,63
50863,63
44335,64
36298,64
34904,64
35950,64
35833,64
64825,64
46837,64
50863,64
53855,64
35903,64
44353,65
31101,65
45875,65
42871,65
31027,65
32911,65
35903,65
38857,65
55498,65
36901,65
38894,66
37972,66
50956,66
38312,66
60837,66
60837,66
49251,66
50473,66
59374,66
63828,66
47330,67
41112,67
35869,67
40890,67
36667,67
68816,67
32880,67
71479,67
33915,67
32207,67
42856,68
32911,68
53854,68
27920,68
31343,68
60794,68
32337,68
70776,68
27403,68
41519,68
69812,69
34828,69
36900,69
36712,69
36898,69
35866,69
34151,69
46913,69
69287,69
56570,69
54819,70
27925,70
41055,70
30885,70
36260,70
55851,70
53873,70
55849,70
72314,70
55324,70
53855,71
25931,71
68068,71
39893,71
29833,71
47055,71
38894,71
70289,71
47872,71
25899,71
53853,72
44879,72
40889,72
45968,72
41856,72
35903,72
64785,72
59405,72
36901,72
42098,72
58809,73
37886,73
28922,73
52040,73
55877,73
30888,73
70778,73
37896,73
68815,73
49835,73
40544,74
44880,74
34906,74
51861,74
52548,74
46855,74
42965,74
36083,74
41887,74
58024,74
42884,75
59080,75
72298,75
48834,75
74359,75
59680,75
33908,75
55852,75
36335,75
63835,75
65075,76
74864,76
47872,76
25900,76
43961,76
43479,76
87327,76
44669,76
48834,76
35479,76
37597,77
42885,77
51862,77
48836,77
40890,77
38920,77
37898,77
55750,77
54855,77
49864,77
34843,78
33558,78
85740,78
34906,78
34527,78
46553,78
49866,78
33908,78
33983,78
34477,78
38896,79
90756,79
36874,79
72374,79
46247,79
33124,79
81517,79
34906,79
73351,79
32098,79
33908,80
44845,80
47106,80
29310,80
59839,80
42884,80
60687,80
57842,80
30117,80
43207,80
89735,81
73169,81
32907,81
33908,81
53370,81
33063,81
32911,81
33908,81
57800,81
31914,81
51861,82
52857,82
87724,82
42854,82
41452,82
55851,82
40285,82
66669,82
56845,82
41848,82
41566,83
44636,83
60837,83
65027,83
41886,83
36869,83
40890,83
84771,83
36051,83
34874,83
68816,84
44949,84
31913,84
58834,84
81775,84
40890,84
29619,84
47840,84
35725,84
81780,84
37931,85
52856,85
50467,85
92530,85
37058,85
91755,85
37897,85
36767,85
99732,85
51861,85
34906,86
28922,86
30618,86
44880,86
34061,86
80374,86
64825,86
28921,86
82779,86
36741,86
47871,87
58841,87
52114,87
35648,87
73763,87
42122,87
41861,87
68813,87
38861,87
58437,87
35726,88
36899,88
89728,88
57318,88
34838,88
36874,88
64791,88
35871,88
46842,88
41488,88
91755,89
28922,89
62831,89
44880,89
37864,89
73769,89
56843,89
86890,89
36087,89
50862,89
73802,90
70501,90
37570,90
48349,90
67260,90
46846,90
41432,90
37433,90
47645,90
64825,90
38898,91
36899,91
51860,91
68327,91
48869,91
68284,91
45956,91
50981,91
36619,91
77791,91
43882,92
67820,92
90220,92
41887,92
50187,92
47873,92
42885,92
44879,92
49434,92
42888,92
87732,93
31626,93
28402,93
88729,93
32911,93
29919,93
29918,93
31914,93
26928,93
33595,93
32885,94
37898,94
67686,94
56847,94
39015,94
39114,94
26889,94
71779,94
25895,94
35532,94
35903,95
55849,95
37899,95
57842,95
58511,95
61611,95
65822,95
39891,95
59265,95
65792,95
48835,96
36901,96
57746,96
42886,96
51859,96
109675,96
57843,96
33386,96
49866,96
33878,96
100729,97
78789,97
85736,97
31914,97
38477,97
46802,97
49834,97
37569,97
78788,97
52838,97
34875,98
31914,98
85768,98
41101,98
103721,98
38394,98
41300,98
46046,98
40889,98
33907,98
46401,99
57948,99
57842,99
49341,99
42835,99
99048,99
50863,99
52859,99
84778,99
82273,99
85913,100
43711,100
50185,100
37868,100
40154,100
45606,100
44347,100
48392,100
101543,100
95743,100
34208,101
40888,101
40888,101
60547,101
48792,101
40305,101
40425,101
47841,101
70810,101
46872,101
57427,102
44847,102
42852,102
45875,102
46605,102
44991,102
40890,102
47876,102
57232,102
35780,102
75782,103
74796,103
44879,103
32879,103
47841,103
55851,103
50026,103
41887,103
36825,103
42886,103
28921,104
124973,104
34905,104
51592,104
63824,104
28921,104
33843,104
29783,104
29888,104
31925,104
43885,105
43786,105
42869,105
86028,105
66820,105
122519,105
72770,105
53855,105
32910,105
60148,105
28922,106
118681,106
44988,106
49715,106
28382,106
46875,106
44752,106
28376,106
72803,106
71179,106
49064,107
47205,107
46919,107
72801,107
48868,107
47871,107
41881,107
43142,107
69812,107
46841,107
