Time in Microseconds,No of Lines
4646,2
4985,2
1994,2
3008,2
2961,2
1995,2
2994,2
1993,2
2993,2
1994,2
2991,2
2992,2
3023,2
4020,2
2992,2
2965,2
3988,2
1994,2
3185,2
2992,2
5313,4
4986,4
7942,4
5984,4
6013,4
7418,4
8410,4
6680,4
5980,4
5988,4
5017,4
7979,4
6692,4
4953,4
5982,4
7981,4
6981,4
4986,4
5629,4
7946,4
9972,6
8975,6
7952,6
5935,6
6980,6
5966,6
8181,6
7138,6
7976,6
9939,6
9944,6
8945,6
8977,6
10981,6
9940,6
8942,6
9935,6
7981,6
6942,6
6949,6
11937,8
11934,8
10718,8
10968,8
11968,8
10970,8
11967,8
10937,8
11968,8
11288,8
11937,8
11934,8
11933,8
11968,8
11966,8
11322,8
11935,8
10937,8
11935,8
11936,8
14927,10
13962,10
14934,10
13959,10
12966,10
12934,10
13931,10
11929,10
13327,10
12405,10
13961,10
12965,10
13963,10
11965,10
11967,10
13838,10
12932,10
16954,10
13962,10
12964,10
15956,12
15961,12
15987,12
15925,12
17949,12
12952,10
13960,10
17411,12
15955,12
13929,10
16953,12
15614,12
12933,10
16953,12
16951,12
12962,10
13930,10
15957,12
15958,12
14986,12
14779,10
14959,10
15952,12
14957,12
13962,10
13962,10
15956,12
13799,10
16132,12
14818,10
17920,12
17920,14
17951,14
16820,12
17956,14
14989,12
18060,14
15956,12
17935,14
17950,14
18416,14
17950,14
18949,14
17512,14
17952,14
17916,14
17917,14
18917,14
19944,16
17952,14
21934,14
17657,14
19950,14
18917,14
17521,14
17920,14
17947,14
16954,14
20455,16
17919,14
21909,16
20912,16
21904,16
23896,18
18948,16
21942,16
19910,16
21903,18
23881,18
19897,16
20067,14
24933,18
20941,16
20943,16
19947,14
24971,18
23932,18
19947,14
17949,14
21401,16
18917,14
21276,16
19947,14
19421,14
18947,14
21946,16
17862,14
16954,14
19911,14
18949,14
22660,18
23318,18
26134,18
24759,18
22150,18
23571,18
25198,20
25897,18
23934,18
24932,18
26927,20
25912,20
25888,20
23906,20
25194,20
23933,20
25931,20
26634,20
24935,20
22936,20
21906,18
23448,18
20294,16
21941,16
21679,18
20942,18
27925,22
21940,18
22905,18
20468,16
27895,20
23934,20
23522,20
26901,20
25931,20
24440,20
23608,20
25017,20
25900,20
24701,20
29917,22
30887,22
27237,22
27490,22
26927,22
27769,22
28697,22
26781,22
26929,22
26051,22
26929,20
25929,20
24847,20
26922,20
26928,20
25934,20
25900,20
25927,20
25376,20
26927,20
25930,20
23935,20
30918,26
22108,18
27256,22
25930,20
22938,18
30915,26
19944,16
39858,24
21945,18
30685,24
31912,26
24932,18
34280,26
22939,18
31615,26
22937,18
23149,18
25930,18
26928,20
33909,28
25930,22
32910,28
25930,20
30798,26
25933,20
33907,28
31914,26
29920,24
32880,28
34945,28
35871,28
28923,22
31914,26
33908,28
35601,28
31879,26
