Time,N
12931,10
9117,10
15974,1
999,1
1982,1
1995,1
1994,1
1993,1
1994,1
1995,1
1994,1
1994,1
2990,2
1997,2
2961,2
1994,2
2992,2
2990,2
2880,2
3989,2
2722,2
3990,2
3909,3
3988,3
1994,3
3954,3
1994,3
2987,3
1992,3
1991,3
3465,3
1993,3
3418,4
2992,4
3958,4
3990,4
2608,4
4008,4
3147,4
1993,4
2990,4
3024,4
1992,5
2988,5
2990,5
2960,5
1965,5
2962,5
2991,5
1994,5
4256,5
2990,5
4985,6
5985,6
5016,6
5986,6
3989,6
6977,6
3987,6
4985,6
5983,6
4953,6
2991,7
2990,7
2996,7
2990,7
2990,7
2992,7
2648,7
3027,7
4182,7
4029,7
4977,8
5983,8
5950,8
5984,8
4985,8
5983,8
5958,8
5046,8
5977,8
4988,8
3147,9
2961,9
1590,9
3987,9
4020,9
2270,9
2991,9
3996,9
2961,9
3027,9
2893,10
3993,10
2952,10
3992,10
2430,10
2957,10
3018,10
2984,10
3178,10
3004,10
6592,11
7941,11
7977,11
9977,11
6980,11
6979,11
8975,11
8610,11
8971,11
8974,11
10969,12
10968,12
12173,12
10969,12
11934,12
10968,12
9974,12
11976,12
11930,12
10972,12
1992,13
5238,13
1989,13
4958,13
3958,13
1995,13
3535,13
2994,13
2988,13
2987,13
11833,14
11968,14
11969,14
11937,14
10958,14
11969,14
11931,14
12932,14
11967,14
12963,14
1993,15
3989,15
1992,15
2992,15
2992,15
3954,15
3017,15
1992,15
2987,15
2957,15
12965,16
11968,16
12965,16
12934,16
11937,16
11967,16
11966,16
12964,16
11967,16
10969,16
2990,17
2994,17
3955,17
1960,17
3029,17
1995,17
2993,17
1644,17
2993,17
1989,17
5952,18
3989,18
5947,18
5982,18
4974,18
5984,18
4952,18
5982,18
4956,18
5946,18
8975,19
9965,19
9939,19
9972,19
9944,19
9941,19
8977,19
9272,19
10970,19
8971,19
19944,20
18947,20
21957,20
18946,20
19921,20
18948,20
21061,20
20312,20
20074,20
19912,20
16922,21
17949,21
18916,21
16950,21
18947,21
17938,21
18949,21
17905,21
17951,21
17917,21
1993,22
3969,22
3166,22
3990,22
3955,22
2990,22
3988,22
1994,22
4985,22
2856,22
21921,23
22938,23
19942,23
22942,23
21942,23
22930,23
21939,23
22933,23
22936,23
20901,23
22935,24
20944,24
22940,24
20943,24
22935,24
22939,24
21106,24
22939,24
21909,24
22938,24
25899,25
23906,25
25896,25
24930,25
24932,25
22936,25
25200,25
32912,25
24900,25
23904,25
17951,26
17950,26
18947,26
17303,26
17950,26
17914,26
17949,26
18950,26
19146,26
17951,26
3993,27
2991,27
2994,27
3955,27
2990,27
1994,27
3991,27
1992,27
2992,27
2973,27
15926,28
13961,28
12963,28
14464,28
14085,28
13855,28
13753,28
12965,28
14960,28
13928,28
11962,29
10970,29
10970,29
12965,29
12966,29
11968,29
11968,29
11399,29
11934,29
10968,29
18949,30
18839,30
20011,30
18790,30
18948,30
18100,30
23905,30
18916,30
18950,30
18915,30
1991,31
3988,31
2993,31
3006,31
3024,31
1992,31
2991,31
2376,31
3990,31
2991,31
9974,32
9069,32
8938,32
8240,32
8976,32
9973,32
8976,32
9973,32
8940,32
10970,32
17951,33
15947,33
16954,33
17951,33
16954,33
17951,33
17952,33
16955,33
16954,33
17947,33
30759,34
30917,34
31915,34
31915,34
31187,34
30918,34
31915,34
32911,34
31914,34
31899,34
33203,35
34870,35
30917,35
30917,35
31019,35
30916,35
31911,35
31915,35
31915,35
31884,35
4986,36
4955,36
3989,36
4987,36
4954,36
4773,36
6949,36
5985,36
4986,36
6950,36
25900,37
24932,37
24900,37
24933,37
25359,37
24930,37
25589,37
24933,37
24902,37
24899,37
2960,38
3270,38
1994,38
3957,38
3026,38
2990,38
2992,38
2958,38
3957,38
2829,38
18948,39
20942,39
19945,39
19435,39
22627,39
21030,39
20916,39
20909,39
20910,39
21941,39
33882,40
32875,40
32911,40
34501,40
33954,40
33909,40
34242,40
33909,40
34798,40
32987,40
6952,41
6980,41
6983,41
6982,41
6955,41
7978,41
8943,41
7949,41
6982,41
7881,41
26640,42
25932,42
24933,42
26673,42
26776,42
25904,42
24934,42
26992,42
27892,42
26097,42
19912,43
26900,43
22174,43
21958,43
21908,43
21941,43
22935,43
22487,43
22910,43
20913,43
56973,44
58978,44
57844,44
57845,44
55822,44
56847,44
54849,44
54038,44
54038,44
55046,44
25254,45
37897,45
27898,45
27896,45
26925,45
27892,45
28893,45
27893,45
26898,45
25929,45
38866,46
31882,46
30917,46
31882,46
32781,46
31881,46
31914,46
30796,46
31225,46
33908,46
25931,47
25926,47
25930,47
26014,47
26896,47
25904,47
26901,47
27897,47
25926,47
25927,47
26927,48
28921,48
28922,48
29893,48
37866,48
31293,48
28891,48
29895,48
29886,48
29021,48
36182,49
35870,49
36900,49
36900,49
36867,49
34900,49
36902,49
35902,49
35866,49
36870,49
60864,50
60908,50
62831,50
59838,50
59796,50
59976,50
65791,50
64827,50
62832,50
60807,50
17912,51
18951,51
18949,51
18451,51
18945,51
18948,51
18250,51
18914,51
17951,51
18103,51
29131,52
28894,52
28923,52
28287,52
27924,52
28639,52
30917,52
31914,52
27886,52
29061,52
65823,53
65824,53
78791,53
72774,53
71578,53
65282,53
67033,53
66792,53
64500,53
65794,53
31517,54
30916,54
31675,54
31173,54
32977,54
32259,54
33269,54
37897,54
33874,54
34539,54
71809,55
72606,55
69812,55
70808,55
69605,55
68758,55
70781,55
67782,55
74798,55
74767,55
9970,56
11965,56
10972,56
10971,56
10691,56
10235,56
9939,56
10939,56
9972,56
10937,56
54819,57
54851,57
52859,57
51860,57
51860,57
56848,57
54855,57
56845,57
55850,57
64825,57
25902,58
27924,58
27119,58
27958,58
28924,58
28027,58
25891,58
25682,58
25896,58
27897,58
26928,59
25931,59
26710,59
26928,59
25798,59
25931,59
24933,59
25930,59
26929,59
25928,59
20943,60
21914,60
21379,60
21121,60
19913,60
21594,60
21907,60
19943,60
19908,60
21907,60
54439,61
67818,61
57748,61
56815,61
57845,61
55685,61
56813,61
55851,61
58812,61
55885,61
24905,62
25929,62
26928,62
25931,62
26240,62
26900,62
26522,62
26928,62
27187,62
26103,62
39892,63
38867,63
41888,63
39618,63
38896,63
39268,63
37867,63
38349,63
35870,63
38203,63
43021,64
41889,64
42885,64
42668,64
40697,64
42858,64
42886,64
43259,64
42858,64
42885,64
50863,65
51370,65
49399,65
50109,65
50486,65
59840,65
50836,65
51859,65
51159,65
50836,65
23931,66
23247,66
24669,66
24937,66
23937,66
24935,66
23936,66
23938,66
22866,66
22910,66
24928,67
24905,67
24905,67
25897,67
26901,67
27898,67
28924,67
25654,67
25916,67
26018,67
44094,68
42948,68
42858,68
45877,68
52852,68
45435,68
45876,68
45876,68
45951,68
46670,68
38883,69
41853,69
40889,69
41094,69
39863,69
39009,69
38505,69
39891,69
39997,69
37896,69
39892,70
41028,70
38862,70
39858,70
43849,70
40609,70
41538,70
45877,70
39867,70
42065,70
28912,71
25673,71
25897,71
26928,71
28968,71
28922,71
26928,71
27923,71
26821,71
26901,71
103712,72
96739,72
97468,72
104691,72
98702,72
118702,72
95744,72
94745,72
93723,72
95745,72
60809,73
50862,73
46874,73
47870,73
46875,73
49106,73
46875,73
45118,73
43848,73
54850,73
45847,74
48868,74
46875,74
48841,74
45946,74
44597,74
43851,74
45843,74
44852,74
44880,74
52825,75
54826,75
55830,75
54823,75
53947,75
55663,75
56847,75
83774,75
64824,75
62832,75
64762,76
64752,76
62829,76
64191,76
64799,76
59838,76
61705,76
81753,76
108716,76
80781,76
31912,77
34911,77
36902,77
33880,77
32883,77
28894,77
28921,77
27238,77
26923,77
24899,77
43883,78
41888,78
45877,78
42524,78
41023,78
38861,78
38865,78
39917,78
46873,78
45876,78
39869,79
38894,79
47871,79
52831,79
48868,79
53822,79
56846,79
53855,79
49869,79
50849,79
59810,80
61834,80
56954,80
53853,80
52181,80
50865,80
51160,80
49288,80
